排名,證券代號,證券名稱,投信買賣超股數
1,2887,台新新光金,10215396
2,2880,華南金,6093027
3,2883,凱基金,5286559
4,1303,南亞,4500031
5,4938,和碩,3573433
6,2886,兆豐金,2284761
7,2327,國巨*,2120951
8,2368,金像電,1533234
9,3026,禾伸堂,1491000
10,6805,富世達,1182859
11,2308,台達電,1047502
12,2855,統一證,976061
13,2481,強茂,860240
14,2885,元大金,675601
15,3231,緯創,629075
16,2492,華新科,605776
17,6239,力成,524657
18,2542,興富發,513051
19,2633,台灣高鐵,491970
20,3044,健鼎,453717
21,3090,日電貿,420872
22,2884,玉山金,419191
23,2317,鴻海,397832
24,1717,長興,391541
25,6285,啟碁,386007
26,2330,台積電,357408
27,2408,南亞科,312952
28,5876,上海商銀,306616
29,4551,智伸科,261000
30,5880,合庫金,186617
