排名,證券代號,證券名稱,投信買賣超股數
1,2344,華邦電,47711359
2,2886,兆豐金,37260286
3,4904,遠傳,24929199
4,2890,永豐金,23851011
5,2892,第一金,18097629
6,2880,華南金,16158031
7,3481,群創,15589130
8,1402,遠東新,12928622
9,2845,遠東銀,12085064
10,2884,玉山金,12074448
11,2633,台灣高鐵,9560000
12,1216,統一,9077016
13,5876,上海商銀,7936012
14,3231,緯創,5641279
15,2408,南亞科,4046000
16,1513,中興電,3878000
17,1303,南亞,3716000
18,2492,華新科,2814000
19,2504,國產,2658063
20,3037,欣興,2175002
21,6271,同欣電,2063000
22,2472,立隆電,1431000
23,2382,廣達,1424601
24,3090,日電貿,1241000
25,3189,景碩,1238232
26,8926,台汽電,1095000
27,2377,微星,1064000
28,6257,矽格,1030202
29,2327,國巨*,953414
30,8028,昇陽半導體,747000
