排名,證券代號,證券名稱,投信買賣超股數
1,2344,華邦電,-2760433
2,4958,臻鼎-KY,-2678860
3,2327,國巨*,-2376711
4,8150,南茂,-2279000
5,2027,大成鋼,-1864000
6,2489,瑞軒,-1809000
7,2481,強茂,-1806000
8,2376,技嘉,-1761000
9,3189,景碩,-1690000
10,2368,金像電,-1657937
11,2408,南亞科,-1519791
12,6415,矽力*-KY,-1319640
13,8046,南電,-1170961
14,6213,聯茂,-898000
15,6239,力成,-855000
16,2404,漢唐,-804000
17,2313,華通,-763000
18,3532,台勝科,-755000
19,8996,高力,-549000
20,1590,亞德客-KY,-471960
21,6271,同欣電,-357000
22,3167,大量,-336000
23,8028,昇陽半導體,-310000
24,2454,聯發科,-283444
25,2351,順德,-250000
26,3533,嘉澤,-161397
27,3090,日電貿,-111000
28,3005,神基,-59349
29,2383,台光電,-38947
30,2308,台達電,-38313
