排名,證券代號,證券名稱,投信買賣超股數
1,1303,南亞,4555192
2,2881,富邦金,3678630
3,6278,台表科,3461000
4,2301,光寶科,3050097
5,8039,台虹,1910000
6,2887,台新新光金,1780611
7,2884,玉山金,1565238
8,2449,京元電子,939482
9,3017,奇鋐,934092
10,3037,欣興,873416
11,8996,高力,766000
12,6531,愛普*,743000
13,2408,南亞科,711475
14,3450,聯鈞,688000
15,6805,富世達,673000
16,2481,強茂,620000
17,3189,景碩,392000
18,8046,南電,342921
19,3532,台勝科,337000
20,2351,順德,322000
21,2618,長榮航,307856
22,3605,宏致,280000
23,3008,大立光,217966
24,2412,中華電,196826
25,6830,汎銓,150000
26,4551,智伸科,134000
27,9941,裕融,116000
28,4736,泰博,102000
29,8150,南茂,101000
30,2645,長榮航太,62000
