排名,證券代號,證券名稱,投信買賣超股數
1,6005,群益證,-6958708
2,3711,日月光投控,-3592370
3,1102,亞泥,-3153366
4,4904,遠傳,-3039372
5,2880,華南金,-3017954
6,2885,元大金,-2950291
7,9904,寶成,-2550735
8,9907,統一實,-2246689
9,2441,超豐,-1848000
10,2890,永豐金,-1374967
11,6285,啟碁,-1349922
12,2404,漢唐,-1035554
13,3010,華立,-843357
14,2308,台達電,-809555
15,2347,聯強,-788603
16,2313,華通,-761000
17,3037,欣興,-754853
18,3017,奇鋐,-736412
19,2609,陽明,-707787
20,3167,大量,-682000
21,1319,東陽,-668460
22,2360,致茂,-661071
23,1504,東元,-621646
24,1216,統一,-538597
25,2317,鴻海,-529755
26,3665,貿聯-KY,-509543
27,3189,景碩,-463905
28,8210,勤誠,-430000
29,6414,樺漢,-406000
30,6257,矽格,-404867
