排名,證券代號,證券名稱,投信買賣超股數
1,2887,台新新光金,36716000
2,2618,長榮航,16883133
3,2880,華南金,16766000
4,2382,廣達,12553210
5,2344,華邦電,10671152
6,2886,兆豐金,10509221
7,2603,長榮,8950491
8,2356,英業達,6890000
9,5876,上海商銀,4977386
10,1216,統一,4771309
11,2633,台灣高鐵,4150000
12,3045,台灣大,3331000
13,2542,興富發,3257000
14,2912,統一超,2808477
15,2301,光寶科,2759000
16,3231,緯創,1597000
17,3450,聯鈞,1500000
18,4904,遠傳,1404000
19,2610,華航,1385147
20,3042,晶技,1343000
21,1303,南亞,1300732
22,2412,中華電,1297000
23,3706,神達,1223000
24,2891,中信金,1078717
25,3037,欣興,1050000
26,5871,中租-KY,974541
27,1802,台玻,970000
28,6285,啟碁,901000
29,3189,景碩,869191
30,2357,華碩,829954
