排名,證券代號,證券名稱,投信買賣超股數
1,3231,緯創,10842925
2,3702,大聯大,6226000
3,2880,華南金,3606000
4,1402,遠東新,3225591
5,5876,上海商銀,1639000
6,2633,台灣高鐵,1569000
7,8021,尖點,1329000
8,1216,統一,1144363
9,2882,國泰金,874696
10,3450,聯鈞,814000
11,2885,元大金,720765
12,2412,中華電,696144
13,2912,統一超,693786
14,6669,緯穎,659723
15,3017,奇鋐,659000
16,1717,長興,620118
17,1303,南亞,583697
18,4764,雙鍵,560000
19,2330,台積電,549823
20,4958,臻鼎-KY,540605
21,5871,中租-KY,504488
22,2006,東和鋼鐵,495639
23,8926,台汽電,476437
24,3665,貿聯-KY,469242
25,2618,長榮航,462277
26,6139,亞翔,448000
27,2884,玉山金,446835
28,2610,華航,371000
29,2891,中信金,355994
30,3045,台灣大,323800
