排名,證券代號,證券名稱,投信買賣超股數
1,2887,台新新光金,23249000
2,2880,華南金,14856000
3,2618,長榮航,14604788
4,2382,廣達,12747842
5,2886,兆豐金,9291110
6,2356,英業達,8891000
7,2603,長榮,7531345
8,3042,晶技,7195000
9,3045,台灣大,5075000
10,1216,統一,4813000
11,2344,華邦電,4364455
12,2891,中信金,4247920
13,2337,旺宏,2969000
14,3037,欣興,2890000
15,2301,光寶科,2855914
16,5876,上海商銀,2571193
17,2912,統一超,2358202
18,3189,景碩,2307000
19,4904,遠傳,2042000
20,2412,中華電,1832000
21,3706,神達,1728000
22,6706,惠特,1678000
23,5871,中租-KY,1320164
24,6139,亞翔,1086767
25,2421,建準,879000
26,1802,台玻,762000
27,1717,長興,711000
28,6196,帆宣,704000
29,3026,禾伸堂,600000
30,3017,奇鋐,595023
