排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-16822326
2,2353,宏碁,-8834000
3,2324,仁寶,-8753000
4,2884,玉山金,-3750635
5,6005,群益證,-3261192
6,2887,台新新光金,-3217800
7,4938,和碩,-3177094
8,2883,凱基金,-2783264
9,2882,國泰金,-2760925
10,3036,文曄,-2449000
11,2881,富邦金,-1848774
12,4958,臻鼎-KY,-1823106
13,6239,力成,-1630000
14,3037,欣興,-1505453
15,2344,華邦電,-1416374
16,2880,華南金,-1383223
17,2504,國產,-1295000
18,6176,瑞儀,-1238000
19,4919,新唐,-1214000
20,2385,群光,-1001555
21,2301,光寶科,-880707
22,5871,中租-KY,-862903
23,3044,健鼎,-687000
24,2454,聯發科,-613274
25,2606,裕民,-546000
26,2357,華碩,-526762
27,2481,強茂,-500000
28,2404,漢唐,-471000
29,8028,昇陽半導體,-455000
30,1519,華城,-455000
