排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-25960000
2,2891,中信金,-22482000
3,2882,國泰金,-21947360
4,2324,仁寶,-20798000
5,2881,富邦金,-14009000
6,2885,元大金,-9028000
7,1402,遠東新,-7376000
8,2344,華邦電,-3076000
9,2312,金寶,-2973000
10,6257,矽格,-2782000
11,2337,旺宏,-2361000
12,2377,微星,-2331000
13,2449,京元電子,-2191390
14,6285,啟碁,-1700000
15,3005,神基,-1522583
16,2474,可成,-1464000
17,2357,華碩,-1134270
18,2353,宏碁,-1110000
19,2884,玉山金,-795000
20,2439,美律,-658000
21,6005,群益證,-606000
22,2412,中華電,-566000
23,2376,技嘉,-478000
24,3030,德律,-461000
25,2610,華航,-420000
26,2313,華通,-413000
27,2454,聯發科,-400000
28,3532,台勝科,-343000
29,2027,大成鋼,-323000
30,6278,台表科,-318000
