排名,證券代號,證券名稱,投信買賣超股數
1,2883,凱基金,81727276
2,1402,遠東新,21880000
3,2881,富邦金,19229233
4,2382,廣達,18046548
5,2105,正新,12478000
6,4938,和碩,11500000
7,2542,興富發,9551000
8,2855,統一證,7702000
9,5871,中租-KY,7644000
10,2347,聯強,7279000
11,2887,台新新光金,6790776
12,2327,國巨*,6329323
13,2880,華南金,5931933
14,9910,豐泰,5926000
15,1210,大成,4338000
16,2344,華邦電,3895636
17,9941,裕融,3134000
18,3090,日電貿,2771000
19,1319,東陽,2649000
20,2379,瑞昱,2440193
21,1303,南亞,2305904
22,8150,南茂,2262847
23,2603,長榮,2217226
24,2884,玉山金,1747188
25,2597,潤弘,1480000
26,4958,臻鼎-KY,1475000
27,8454,富邦媒,1470000
28,6890,來億-KY,1450000
29,2890,永豐金,877634
30,3665,貿聯-KY,813000
