排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,6339869
2,2027,大成鋼,4088000
3,1717,長興,3450000
4,2891,中信金,3217753
5,2449,京元電子,2583740
6,2882,國泰金,2495864
7,2368,金像電,1662014
8,2884,玉山金,1554000
9,2455,全新,1511000
10,2881,富邦金,1458878
11,2382,廣達,1450963
12,2313,華通,1266000
13,4958,臻鼎-KY,1230006
14,2887,台新新光金,1227286
15,3231,緯創,1211957
16,1303,南亞,1191948
17,2542,興富發,1016000
18,2353,宏碁,923000
19,2347,聯強,867000
20,3026,禾伸堂,865000
21,2356,英業達,775965
22,3450,聯鈞,679000
23,2610,華航,667000
24,3406,玉晶光,616000
25,2801,彰銀,607896
26,3008,大立光,499989
27,2618,長榮航,492000
28,3706,神達,473600
29,3034,聯詠,464995
30,2376,技嘉,442991
