排名,證券代號,證券名稱,投信買賣超股數
1,2891,中信金,4422000
2,2367,燿華,3830000
3,2515,中工,2500000
4,2492,華新科,2155000
5,3706,神達,1801000
6,2327,國巨*,1350000
7,5469,瀚宇博,1158000
8,2812,台中銀,991000
9,1326,台化,875000
10,6005,群益證,839000
11,2409,友達,754000
12,1303,南亞,681000
13,1216,統一,580000
14,2448,晶電,562000
15,2352,佳世達,546000
16,2883,凱基金,537000
17,3036,文曄,532000
18,8926,台汽電,473000
19,3481,群創,424000
20,3045,台灣大,415000
21,3533,嘉澤,391000
22,1301,台塑,389000
23,1229,聯華,373000
24,3026,禾伸堂,344000
25,1536,和大,329000
26,1305,華夏,310000
27,2356,英業達,302000
28,2542,興富發,287000
29,3035,智原,257000
30,1704,榮化,255000
