排名,證券代號,證券名稱,投信買賣超股數
1,2887,台新新光金,15310022
2,2303,聯電,14860005
3,2884,玉山金,8972726
4,6770,力積電,7427000
5,2883,凱基金,7322068
6,2892,第一金,6620441
7,1303,南亞,5483000
8,2801,彰銀,4234000
9,2891,中信金,3535551
10,2027,大成鋼,3092000
11,3231,緯創,2948657
12,4958,臻鼎-KY,2722203
13,2542,興富發,2705000
14,4938,和碩,2684000
15,2618,長榮航,1951638
16,2481,強茂,1940000
17,2633,台灣高鐵,1609000
18,2449,京元電子,1560575
19,2357,華碩,1435590
20,2353,宏碁,1431443
21,2610,華航,1261000
22,2886,兆豐金,1207840
23,2890,永豐金,1124793
24,6278,台表科,1092000
25,2382,廣達,1083154
26,5876,上海商銀,1059000
27,2454,聯發科,920029
28,3532,台勝科,897000
29,3706,神達,879000
30,2347,聯強,580000
