排名,證券代號,證券名稱,投信買賣超股數
1,2002,中鋼,-286095940
2,1301,台塑,-107362798
3,2303,聯電,-49325866
4,6919,康霈*,-24869246
5,2891,中信金,-11319036
6,2885,元大金,-9755828
7,3711,日月光投控,-8525378
8,2881,富邦金,-8139610
9,2330,台積電,-7268349
10,2207,和泰車,-7092628
11,2887,台新新光金,-6210332
12,6005,群益證,-5728000
13,2006,東和鋼鐵,-5723637
14,1319,東陽,-4790028
15,2883,凱基金,-4752683
16,6176,瑞儀,-4459904
17,2301,光寶科,-4229182
18,9904,寶成,-3947878
19,2618,長榮航,-3778464
20,2317,鴻海,-3495080
21,2324,仁寶,-3345000
22,9907,統一實,-2809181
23,2882,國泰金,-2676746
24,5880,合庫金,-2645081
25,2347,聯強,-2446763
26,2454,聯發科,-2387910
27,2441,超豐,-2186000
28,1477,聚陽,-2156461
29,4938,和碩,-1892059
30,3034,聯詠,-1674198
