排名,證券代號,證券名稱,投信買賣超股數
1,2618,長榮航,-10375072
2,2356,英業達,-7344588
3,2891,中信金,-7090767
4,2347,聯強,-5269000
5,3231,緯創,-5244705
6,3045,台灣大,-4947629
7,6005,群益證,-4911535
8,2105,正新,-4653106
9,2353,宏碁,-4196865
10,9904,寶成,-4140726
11,4938,和碩,-4016000
12,1101,台泥,-3729000
13,2382,廣達,-3320190
14,3036,文曄,-3152752
15,5876,上海商銀,-2878000
16,2882,國泰金,-2638351
17,2327,國巨*,-2588521
18,2301,光寶科,-2412733
19,2385,群光,-2034664
20,2324,仁寶,-1762153
21,4904,遠傳,-1734980
22,1102,亞泥,-1653571
23,2344,華邦電,-1438402
24,2606,裕民,-1204000
25,3090,日電貿,-1122000
26,9910,豐泰,-1087715
27,2603,長榮,-1083218
28,2371,大同,-1066000
29,9907,統一實,-1054000
30,3034,聯詠,-984873
