排名,證券代號,證券名稱,投信買賣超股數
1,2886,兆豐金,38613036
2,2890,永豐金,24039379
3,2610,華航,20549000
4,2892,第一金,18509245
5,2884,玉山金,17480619
6,3706,神達,9661000
7,2801,彰銀,6853000
8,1303,南亞,6831822
9,2352,佳世達,5880000
10,2891,中信金,5718793
11,8150,南茂,5312000
12,3702,大聯大,5174599
13,3045,台灣大,5034093
14,2356,英業達,4781165
15,2347,聯強,4556917
16,2618,長榮航,4146684
17,2412,中華電,3713978
18,4904,遠傳,3420157
19,8112,至上,3030787
20,3231,緯創,3003412
21,6191,精成科,2859000
22,2845,遠東銀,2815000
23,2377,微星,2744837
24,8422,可寧衛*,2591000
25,2382,廣達,2545688
26,2542,興富發,2432000
27,3711,日月光投控,2159121
28,5469,瀚宇博,2151000
29,2880,華南金,2067586
30,2885,元大金,1957656
