排名,證券代號,證券名稱,投信買賣超股數
1,2344,華邦電,-18105522
2,2303,聯電,-12952460
3,2353,宏碁,-9399608
4,2324,仁寶,-8718676
5,2408,南亞科,-6390682
6,2887,台新新光金,-3892544
7,6005,群益證,-3553189
8,2884,玉山金,-3321305
9,4938,和碩,-3319096
10,6770,力積電,-3026000
11,2883,凱基金,-2613856
12,6239,力成,-2520960
13,3036,文曄,-2414034
14,6116,彩晶,-2407000
15,2881,富邦金,-1945659
16,2385,群光,-1835146
17,2882,國泰金,-1761384
18,4919,新唐,-1686000
19,2504,國產,-1456000
20,4958,臻鼎-KY,-1021846
21,6176,瑞儀,-996000
22,2301,光寶科,-869829
23,5871,中租-KY,-822750
24,3006,晶豪科,-791000
25,2357,華碩,-729885
26,6531,愛普*,-704985
27,3005,神基,-632243
28,3189,景碩,-595695
29,9907,統一實,-506699
30,2481,強茂,-500000
