排名,證券代號,證券名稱,投信買賣超股數
1,2891,中信金,-10852963
2,2882,國泰金,-6401000
3,2618,長榮航,-5922353
4,2880,華南金,-5305000
5,3711,日月光投控,-4059596
6,2301,光寶科,-2903043
7,2313,華通,-1845000
8,2347,聯強,-1043000
9,1477,聚陽,-937206
10,2885,元大金,-923670
11,6805,富世達,-807000
12,2474,可成,-748686
13,2481,強茂,-680500
14,2368,金像電,-675817
15,2890,永豐金,-574806
16,6005,群益證,-489037
17,8046,南電,-410000
18,2308,台達電,-389117
19,6414,樺漢,-375000
20,8021,尖點,-357014
21,2637,慧洋-KY,-339000
22,2441,超豐,-333000
23,2458,義隆,-296000
24,8422,可寧衛*,-281000
25,8112,至上,-280000
26,2357,華碩,-273600
27,2884,玉山金,-265821
28,6768,志強-KY,-265000
29,2449,京元電子,-258533
30,2360,致茂,-226986
