排名,證券代號,證券名稱,投信買賣超股數
1,2880,華南金,10202259
2,2801,彰銀,9570182
3,2892,第一金,8602944
4,2542,興富發,6520000
5,2890,永豐金,6462233
6,2886,兆豐金,5901621
7,2887,台新新光金,5484626
8,1216,統一,4687376
9,2027,大成鋼,4112319
10,1303,南亞,3266388
11,4958,臻鼎-KY,2966441
12,5871,中租-KY,2926146
13,2408,南亞科,2313163
14,2610,華航,1854228
15,2330,台積電,1562085
16,3711,日月光投控,1468018
17,3706,神達,1400000
18,3702,大聯大,1366949
19,2883,凱基金,1284154
20,2912,統一超,1281709
21,3665,貿聯-KY,1067909
22,3532,台勝科,1058000
23,2474,可成,1037970
24,6239,力成,907204
25,2449,京元電子,900820
26,2376,技嘉,775495
27,2308,台達電,763093
28,2377,微星,691375
29,2360,致茂,686725
30,2634,漢翔,668000
