排名,證券代號,證券名稱,投信買賣超股數
1,2801,彰銀,12929000
2,2887,台新新光金,11868473
3,2890,永豐金,11795360
4,2892,第一金,8637313
5,2880,華南金,8414000
6,1303,南亞,8190039
7,2886,兆豐金,7391549
8,2542,興富發,7055000
9,1216,統一,4706058
10,2883,凱基金,3125160
11,5871,中租-KY,2785000
12,2610,華航,2727000
13,2884,玉山金,2710114
14,2481,強茂,2668000
15,2408,南亞科,2160211
16,2317,鴻海,2099832
17,2881,富邦金,2065182
18,2308,台達電,1886409
19,8046,南電,1488100
20,1718,中纖,1441000
21,3706,神達,1392000
22,3702,大聯大,1390000
23,2912,統一超,1159000
24,3532,台勝科,1102000
25,2474,可成,1076000
26,2330,台積電,973707
27,2382,廣達,969697
28,3711,日月光投控,843466
29,2360,致茂,712998
30,2377,微星,680000
