排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-9809720
2,2337,旺宏,-6401000
3,6005,群益證,-4859896
4,2356,英業達,-3726032
5,2353,宏碁,-3666646
6,2618,長榮航,-3166569
7,9904,寶成,-3033261
8,2882,國泰金,-2826390
9,4904,遠傳,-2483339
10,2105,正新,-2483219
11,4938,和碩,-2088000
12,4958,臻鼎-KY,-1902920
13,2347,聯強,-1812000
14,5876,上海商銀,-1727000
15,3042,晶技,-1578000
16,1504,東元,-1424498
17,8150,南茂,-1396000
18,2368,金像電,-1366574
19,2408,南亞科,-1251999
20,3045,台灣大,-1243427
21,2603,長榮,-1009677
22,2385,群光,-1003599
23,3532,台勝科,-998000
24,2330,台積電,-943258
25,2645,長榮航太,-819000
26,2606,裕民,-690000
27,1513,中興電,-627521
28,9910,豐泰,-551000
29,3034,聯詠,-537294
30,2301,光寶科,-496689
