排名,證券代號,證券名稱,投信買賣超股數
1,2610,華航,-12352725
2,2303,聯電,-10321125
3,2891,中信金,-9750470
4,2344,華邦電,-6910472
5,2890,永豐金,-6771624
6,3231,緯創,-6613442
7,2618,長榮航,-5354703
8,2880,華南金,-5022398
9,2886,兆豐金,-4118679
10,2356,英業達,-3967701
11,3045,台灣大,-3207182
12,3036,文曄,-2876919
13,2885,元大金,-2490756
14,2301,光寶科,-2428026
15,2324,仁寶,-2157838
16,2347,聯強,-2129000
17,2105,正新,-2020459
18,4904,遠傳,-1916448
19,4938,和碩,-1880000
20,2382,廣達,-1653498
21,3090,日電貿,-1484000
22,9904,寶成,-1372363
23,2408,南亞科,-1369637
24,3702,大聯大,-1354000
25,9907,統一實,-1287000
26,6239,力成,-1248812
27,2377,微星,-1166000
28,2379,瑞昱,-1146760
29,8112,至上,-1135000
30,2317,鴻海,-1077129
