排名,證券代號,證券名稱,投信買賣超股數
1,3481,群創,-22851947
2,2303,聯電,-13501846
3,2618,長榮航,-6457925
4,6005,群益證,-5018000
5,2356,英業達,-3992504
6,2353,宏碁,-3816520
7,2105,正新,-3163113
8,9904,寶成,-3091869
9,2882,國泰金,-2505887
10,4938,和碩,-2490663
11,2885,元大金,-2111734
12,5876,上海商銀,-2027000
13,2327,國巨*,-1983441
14,3036,文曄,-1982593
15,2347,聯強,-1585780
16,4904,遠傳,-1536577
17,3231,緯創,-1380751
18,4958,臻鼎-KY,-1258808
19,2385,群光,-1189518
20,2603,長榮,-988263
21,2472,立隆電,-876000
22,2883,凱基金,-825373
23,8422,可寧衛*,-818000
24,3045,台灣大,-759397
25,2368,金像電,-740823
26,2606,裕民,-724000
27,9907,統一實,-713231
28,2324,仁寶,-663190
29,3034,聯詠,-575785
30,9910,豐泰,-554000
