排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-69007860
2,2609,陽明,-29087000
3,3231,緯創,-12214365
4,2027,大成鋼,-8894000
5,2891,中信金,-8885332
6,3036,文曄,-7850003
7,3702,大聯大,-5544000
8,6176,瑞儀,-5378000
9,8070,長華*,-4989000
10,6239,力成,-4659797
11,6005,群益證,-4214000
12,2618,長榮航,-4211000
13,2885,元大金,-3371736
14,6757,台灣虎航,-3329000
15,6278,台表科,-2946000
16,8422,可寧衛*,-2865000
17,2451,創見,-2592000
18,2337,旺宏,-2474000
19,2637,慧洋-KY,-2469000
20,6412,群電,-2249000
21,1215,卜蜂,-1702000
22,2882,國泰金,-1681055
23,3037,欣興,-1222723
24,2404,漢唐,-1149000
25,3189,景碩,-1106905
26,2481,強茂,-909000
27,6415,矽力*-KY,-798000
28,2353,宏碁,-701000
29,2455,全新,-664000
30,2409,友達,-640000
