排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-26113192
2,2885,元大金,-9368819
3,2324,仁寶,-7065903
4,2353,宏碁,-6519159
5,1102,亞泥,-6157286
6,6005,群益證,-4640550
7,9904,寶成,-4165717
8,6239,力成,-2703000
9,9907,統一實,-2537000
10,1319,東陽,-2350232
11,2883,凱基金,-2342986
12,3036,文曄,-2219951
13,6176,瑞儀,-1628838
14,2368,金像電,-1541781
15,4938,和碩,-1504418
16,3711,日月光投控,-1393129
17,2301,光寶科,-1136882
18,2385,群光,-1086884
19,2006,東和鋼鐵,-1066728
20,2481,強茂,-1058000
21,3010,華立,-909285
22,5522,遠雄,-864000
23,2393,億光,-731447
24,3005,神基,-671096
25,2454,聯發科,-615665
26,3042,晶技,-590000
27,2208,台船,-589000
28,2441,超豐,-539000
29,2603,長榮,-393711
30,2606,裕民,-375000
