排名,證券代號,證券名稱,投信買賣超股數
1,2885,元大金,-8334690
2,2883,凱基金,-2270000
3,2880,華南金,-2023000
4,1402,遠東新,-1860000
5,2882,國泰金,-1737000
6,8039,台虹,-1585000
7,2492,華新科,-1523000
8,3037,欣興,-1519000
9,2881,富邦金,-1395000
10,2345,智邦,-1210000
11,3481,群創,-1204000
12,8422,可寧衛*,-1015000
13,2383,台光電,-743000
14,6715,嘉基,-671000
15,6005,群益證,-667000
16,6669,緯穎,-580500
17,2412,中華電,-563000
18,4958,臻鼎-KY,-542000
19,2006,東和鋼鐵,-527000
20,2472,立隆電,-500000
21,3661,世芯-KY,-363500
22,2357,華碩,-298000
23,2637,慧洋-KY,-291000
24,6139,亞翔,-214000
25,6442,光聖,-175000
26,2377,微星,-174000
27,5522,遠雄,-154967
28,1477,聚陽,-126543
29,5871,中租-KY,-118000
30,3042,晶技,-117000
