排名,證券代號,證券名稱,投信買賣超股數
1,2481,強茂,-698000
2,2383,台光電,-409127
3,2890,永豐金,-388808
4,1210,大成,-376000
5,3026,禾伸堂,-359100
6,4958,臻鼎-KY,-348280
7,2360,致茂,-327235
8,3481,群創,-280000
9,3189,景碩,-277000
10,2885,元大金,-269209
11,8028,昇陽半導體,-269000
12,2883,凱基金,-259781
13,2345,智邦,-212282
14,2327,國巨*,-208578
15,9904,寶成,-189000
16,6831,邁科,-180000
17,2637,慧洋-KY,-179000
18,2356,英業達,-147000
19,3711,日月光投控,-144218
20,2542,興富發,-136000
21,3037,欣興,-133934
22,2887,台新新光金,-108603
23,8021,尖點,-105000
24,2376,技嘉,-104000
25,4904,遠傳,-100651
26,6438,迅得,-69000
27,3023,信邦,-64000
28,2347,聯強,-56000
29,6526,達發,-48000
30,2892,第一金,-45111
