排名,證券代號,證券名稱,投信買賣超股數
1,2327,國巨*,-3641525
2,3189,景碩,-3203000
3,2834,臺企銀,-3107408
4,2880,華南金,-2221472
5,2886,兆豐金,-1971164
6,3711,日月光投控,-1648492
7,2885,元大金,-1361580
8,1216,統一,-1162069
9,2345,智邦,-1041007
10,2330,台積電,-961130
11,5876,上海商銀,-958056
12,6213,聯茂,-850000
13,6271,同欣電,-701000
14,2472,立隆電,-603000
15,5871,中租-KY,-589020
16,8046,南電,-521000
17,6805,富世達,-495000
18,3044,健鼎,-483000
19,8028,昇陽半導體,-449000
20,2049,上銀,-435000
21,2892,第一金,-428163
22,2454,聯發科,-329089
23,7769,鴻勁,-327001
24,2912,統一超,-301000
25,1101,台泥,-300585
26,2383,台光電,-188105
27,2002,中鋼,-164168
28,3017,奇鋐,-161104
29,2308,台達電,-160328
30,6285,啟碁,-126630
