排名,證券代號,證券名稱,投信買賣超股數
1,3481,群創,-20771159
2,2303,聯電,-6127119
3,2885,元大金,-5553385
4,6005,群益證,-5080000
5,2492,華新科,-4978000
6,2344,華邦電,-4568815
7,2356,英業達,-4141725
8,2353,宏碁,-3509910
9,2618,長榮航,-3504142
10,6770,力積電,-3410000
11,9904,寶成,-3138000
12,3045,台灣大,-2373001
13,2105,正新,-2367000
14,2347,聯強,-2239000
15,4938,和碩,-2165000
16,5876,上海商銀,-1953000
17,4904,遠傳,-1922091
18,3231,緯創,-1713815
19,2882,國泰金,-1619366
20,9907,統一實,-1478000
21,2891,中信金,-1412884
22,2603,長榮,-1359994
23,2385,群光,-1094443
24,2645,長榮航太,-983000
25,2368,金像電,-885776
26,4958,臻鼎-KY,-754393
27,2606,裕民,-727000
28,4915,致伸,-702000
29,3034,聯詠,-676219
30,9910,豐泰,-568000
