排名,證券代號,證券名稱,投信買賣超股數
1,2337,旺宏,10582000
2,2344,華邦電,9995104
3,2880,華南金,6331000
4,3231,緯創,5824909
5,2303,聯電,5713948
6,2408,南亞科,3916935
7,2886,兆豐金,3718872
8,3037,欣興,1817592
9,3711,日月光投控,1710465
10,2892,第一金,1635867
11,2885,元大金,1361328
12,2327,國巨*,1112193
13,6805,富世達,1049000
14,3189,景碩,931864
15,6239,力成,931836
16,8996,高力,915932
17,2610,華航,856025
18,2027,大成鋼,811702
19,3017,奇鋐,524300
20,2542,興富發,493000
21,3653,健策,491001
22,2633,台灣高鐵,486000
23,2301,光寶科,470701
24,3008,大立光,421000
25,1736,喬山,372000
26,1717,長興,363575
27,5876,上海商銀,279000
28,3706,神達,243000
29,4958,臻鼎-KY,230315
30,4904,遠傳,229955
