排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-140693597
2,2609,陽明,-29387700
3,2881,富邦金,-23947140
4,2882,國泰金,-21913965
5,2027,大成鋼,-8447000
6,3036,文曄,-6790482
7,3702,大聯大,-6083000
8,6176,瑞儀,-5548000
9,2885,元大金,-5203088
10,8070,長華*,-5045079
11,6239,力成,-4956458
12,6005,群益證,-4070485
13,3711,日月光投控,-3716275
14,8422,可寧衛*,-3682000
15,6757,台灣虎航,-3370000
16,4958,臻鼎-KY,-2599000
17,2637,慧洋-KY,-2388850
18,2451,創見,-2381000
19,6257,矽格,-2335644
20,6412,群電,-2278000
21,2404,漢唐,-2149000
22,2301,光寶科,-2022408
23,3037,欣興,-1907280
24,1215,卜蜂,-1755000
25,2449,京元電子,-965345
26,1102,亞泥,-943399
27,3189,景碩,-905744
28,2454,聯發科,-899915
29,2606,裕民,-849000
30,6278,台表科,-835000
