排名,證券代號,證券名稱,投信買賣超股數
1,2885,元大金,-3964510
2,2368,金像電,-2407612
3,4958,臻鼎-KY,-2070872
4,2376,技嘉,-1231160
5,3231,緯創,-1074567
6,4764,雙鍵,-587000
7,3532,台勝科,-535000
8,9938,百和,-404000
9,8028,昇陽半導體,-346000
10,3653,健策,-314656
11,2204,中華,-297000
12,1590,亞德客-KY,-295415
13,2801,彰銀,-289338
14,2458,義隆,-188000
15,9802,鈺齊-KY,-179000
16,2345,智邦,-164000
17,3443,創意,-152021
18,1102,亞泥,-134391
19,8210,勤誠,-114000
20,2393,億光,-104000
21,6768,志強-KY,-98000
22,6669,緯穎,-91013
23,3008,大立光,-85654
24,1216,統一,-85000
25,2890,永豐金,-81823
26,2421,建準,-77000
27,3045,台灣大,-73239
28,1319,東陽,-72000
29,3167,大量,-66000
30,6491,晶碩,-63000
