排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-65815141
2,2609,陽明,-28984225
3,2891,中信金,-10157571
4,2027,大成鋼,-8152000
5,2618,長榮航,-7431620
6,3036,文曄,-6479000
7,6005,群益證,-5752733
8,3702,大聯大,-5689000
9,6176,瑞儀,-5491395
10,8070,長華*,-5039812
11,6239,力成,-4625000
12,2603,長榮,-4249768
13,1802,台玻,-3600000
14,8422,可寧衛*,-3549000
15,6757,台灣虎航,-3370000
16,6278,台表科,-2882000
17,2451,創見,-2587000
18,6412,群電,-2280000
19,2481,強茂,-2163000
20,2637,慧洋-KY,-2021639
21,1215,卜蜂,-1820000
22,1582,信錦,-1111000
23,2610,華航,-943576
24,3044,健鼎,-830560
25,2474,可成,-825248
26,2882,國泰金,-652887
27,2357,華碩,-651530
28,2337,旺宏,-650000
29,4551,智伸科,-641000
30,3010,華立,-515000
