排名,證券代號,證券名稱,投信買賣超股數
1,2887,台新新光金,69049000
2,2880,華南金,48387000
3,2618,長榮航,37712898
4,2886,兆豐金,14140110
5,2891,中信金,13697024
6,2603,長榮,12843785
7,2912,統一超,7994202
8,2356,英業達,7569000
9,2382,廣達,7281000
10,5876,上海商銀,7035193
11,2481,強茂,7014000
12,1216,統一,5969000
13,2344,華邦電,5952147
14,2412,中華電,5941000
15,2027,大成鋼,5724000
16,3481,群創,5100000
17,2376,技嘉,4171000
18,4904,遠傳,3827000
19,3045,台灣大,3417000
20,2801,彰銀,3246878
21,2337,旺宏,3088000
22,8112,至上,2315000
23,5871,中租-KY,2234327
24,2408,南亞科,2178001
25,3034,聯詠,1917893
26,2317,鴻海,1808000
27,3231,緯創,1488000
28,4938,和碩,1475999
29,2379,瑞昱,1389386
30,2458,義隆,1331360
