排名,證券代號,證券名稱,投信買賣超股數
1,2344,華邦電,-29051924
2,2303,聯電,-8828942
3,2027,大成鋼,-8628000
4,8150,南茂,-8298000
5,1303,南亞,-4446195
6,3711,日月光投控,-3376456
7,2889,國票金,-2006000
8,2385,群光,-1851473
9,3189,景碩,-1024000
10,3037,欣興,-755242
11,2049,上銀,-685000
12,3045,台灣大,-664973
13,3036,文曄,-646722
14,2481,強茂,-608000
15,2880,華南金,-549687
16,8210,勤誠,-547000
17,2801,彰銀,-489000
18,6278,台表科,-453000
19,5522,遠雄,-440998
20,2449,京元電子,-382808
21,5388,中磊,-372000
22,3583,辛耘,-355000
23,1590,亞德客-KY,-290572
24,3661,世芯-KY,-281014
25,9938,百和,-278490
26,3533,嘉澤,-241595
27,1773,勝一,-161000
28,6415,矽力*-KY,-158000
29,2404,漢唐,-141000
30,4938,和碩,-104000
