排名,證券代號,證券名稱,投信買賣超股數
1,1909,榮成,-1702000
2,2845,遠東銀,-1042000
3,3702,大聯大,-998000
4,2456,奇力新,-827000
5,4919,新唐,-751000
6,2603,長榮,-715000
7,1710,東聯,-591000
8,2330,台積電,-559000
9,2449,京元電子,-505000
10,2311,日月光,-481000
11,2204,中華,-451000
12,4532,瑞智,-442000
13,2104,國際中橡,-393000
14,2317,鴻海,-376000
15,4915,致伸,-306000
16,2501,國建,-294000
17,9941,裕融,-267000
18,3006,晶豪科,-258000
19,1507,永大,-251000
20,5871,中租-KY,-251000
21,3022,威強電,-234000
22,2377,微星,-225000
23,2015,豐興,-224000
24,5243,乙盛-KY,-217000
25,5007,三星,-210000
26,2421,建準,-203000
27,2344,華邦電,-200000
28,1319,東陽,-200000
29,6196,帆宣,-191000
30,5305,敦南,-154000
