排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-71828477
2,2609,陽明,-28958582
3,2027,大成鋼,-8527000
4,2891,中信金,-7462736
5,3036,文曄,-6590000
6,3702,大聯大,-5891000
7,2618,長榮航,-5451102
8,6176,瑞儀,-5429000
9,8070,長華*,-5036543
10,6239,力成,-4690000
11,6005,群益證,-3772246
12,8422,可寧衛*,-3506000
13,2610,華航,-3404450
14,6757,台灣虎航,-3370000
15,2451,創見,-2600000
16,6412,群電,-2280000
17,2637,慧洋-KY,-2147627
18,6278,台表科,-1918000
19,2882,國泰金,-1813941
20,1215,卜蜂,-1810000
21,2474,可成,-1132319
22,1582,信錦,-1132000
23,4958,臻鼎-KY,-975997
24,3376,新日興,-875000
25,2357,華碩,-719942
26,2603,長榮,-665986
27,2801,彰銀,-664065
28,2360,致茂,-457221
29,2337,旺宏,-380000
30,3189,景碩,-346000
