排名,證券代號,證券名稱,投信買賣超股數
1,2637,慧洋-KY,-6285000
2,3450,聯鈞,-2800000
3,2327,國巨*,-2342195
4,2408,南亞科,-1901125
5,3711,日月光投控,-1491845
6,3026,禾伸堂,-1127000
7,4904,遠傳,-1094091
8,3037,欣興,-1043000
9,2606,裕民,-1029000
10,2603,長榮,-926858
11,2360,致茂,-887980
12,4958,臻鼎-KY,-506367
13,2885,元大金,-488477
14,3533,嘉澤,-398000
15,1802,台玻,-357000
16,2454,聯發科,-149193
17,2891,中信金,-148502
18,8028,昇陽半導體,-148000
19,2428,興勤,-138000
20,9904,寶成,-128763
21,2383,台光電,-113409
22,3008,大立光,-107000
23,2472,立隆電,-105000
24,2233,宇隆,-100000
25,2308,台達電,-97541
26,8210,勤誠,-92000
27,2458,義隆,-90000
28,6239,力成,-83000
29,2344,華邦電,-78117
30,8046,南電,-78000
