排名,證券代號,證券名稱,投信買賣超股數
1,2313,華通,-4432970
2,1402,遠東新,-2297898
3,2845,遠東銀,-2253000
4,3231,緯創,-1865993
5,3450,聯鈞,-1406000
6,6669,緯穎,-1016503
7,2301,光寶科,-964952
8,2377,微星,-893000
9,2345,智邦,-849623
10,3702,大聯大,-807000
11,2472,立隆電,-500000
12,6449,鈺邦,-500000
13,2308,台達電,-432453
14,2344,華邦電,-420196
15,2439,美律,-406000
16,2441,超豐,-385000
17,2356,英業達,-323691
18,8039,台虹,-264000
19,8210,勤誠,-259000
20,2408,南亞科,-238743
21,2458,義隆,-236390
22,2618,長榮航,-228029
23,2886,兆豐金,-216428
24,2330,台積電,-203593
25,3135,凌航,-201000
26,3167,大量,-194000
27,2383,台光電,-162294
28,9941,裕融,-161367
29,2880,華南金,-159520
30,3665,貿聯-KY,-159017
