排名,證券代號,證券名稱,投信買賣超股數
1,2027,大成鋼,-5243152
2,2618,長榮航,-3476001
3,3090,日電貿,-2846000
4,1402,遠東新,-2094170
5,1102,亞泥,-2014879
6,2610,華航,-2009396
7,3450,聯鈞,-1886000
8,2633,台灣高鐵,-1812000
9,1216,統一,-1567583
10,2353,宏碁,-1521911
11,5876,上海商銀,-1510000
12,8150,南茂,-1376847
13,2897,王道銀行,-1335000
14,3702,大聯大,-1214060
15,2891,中信金,-1206517
16,3026,禾伸堂,-1131000
17,2492,華新科,-1020000
18,2887,台新新光金,-953974
19,3045,台灣大,-900047
20,2646,星宇航空,-888000
21,3532,台勝科,-760000
22,2395,研華,-750000
23,3481,群創,-710211
24,2412,中華電,-632434
25,4904,遠傳,-621057
26,2501,國建,-567000
27,2371,大同,-527000
28,5871,中租-KY,-522943
29,2472,立隆電,-513000
30,2603,長榮,-496258
