排名,證券代號,證券名稱,投信買賣超股數
1,2892,第一金,98425000
2,2801,彰銀,82885639
3,2886,兆豐金,64186555
4,2890,永豐金,63471268
5,3702,大聯大,29953623
6,2027,大成鋼,28016067
7,2887,台新新光金,26847000
8,2610,華航,17711974
9,2618,長榮航,15307150
10,2377,微星,10981842
11,3231,緯創,10367000
12,2352,佳世達,8368000
13,8150,南茂,6480000
14,2356,英業達,6371000
15,3706,神達,6022000
16,2330,台積電,4742597
17,9907,統一實,4349915
18,2347,聯強,4079626
19,1303,南亞,4024179
20,4904,遠傳,4007000
21,2633,台灣高鐵,3996000
22,3045,台灣大,3877565
23,2547,日勝生,3461258
24,5876,上海商銀,3298000
25,1402,遠東新,3122523
26,2379,瑞昱,2920193
27,2412,中華電,2910252
28,6191,精成科,2849000
29,2542,興富發,2755000
30,2382,廣達,2514970
