排名,證券代號,證券名稱,投信買賣超股數
1,2352,佳世達,5922000
2,2892,第一金,5576491
3,2618,長榮航,4735325
4,2886,兆豐金,4672449
5,8112,至上,4579000
6,3045,台灣大,4558075
7,3231,緯創,4536916
8,3706,神達,4257000
9,2347,聯強,3997104
10,2356,英業達,3872599
11,2412,中華電,3748450
12,1303,南亞,3442703
13,2880,華南金,3156547
14,2891,中信金,3145815
15,4904,遠傳,3118397
16,2377,微星,2889000
17,6191,精成科,2884000
18,3026,禾伸堂,2431000
19,2885,元大金,2333509
20,2890,永豐金,2258178
21,2610,華航,2209094
22,2474,可成,2174000
23,5469,瀚宇博,2063000
24,2382,廣達,1974290
25,2458,義隆,1817625
26,8422,可寧衛*,1785000
27,3702,大聯大,1573000
28,8070,長華*,1448302
29,3042,晶技,1409000
30,2449,京元電子,1254029
