排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-17981186
2,2883,凱基金,-6332151
3,2327,國巨*,-5322676
4,2603,長榮,-5320799
5,3711,日月光投控,-1308688
6,2308,台達電,-837379
7,4958,臻鼎-KY,-583992
8,6239,力成,-475000
9,8021,尖點,-394000
10,2801,彰銀,-371000
11,2428,興勤,-358000
12,2376,技嘉,-347151
13,6213,聯茂,-327000
14,2368,金像電,-323437
15,2330,台積電,-317464
16,2383,台光電,-315498
17,3665,貿聯-KY,-301070
18,2344,華邦電,-295194
19,2360,致茂,-268226
20,8105,凌巨,-201000
21,2891,中信金,-198839
22,6515,穎崴,-187699
23,6442,光聖,-176000
24,2337,旺宏,-162000
25,2890,永豐金,-147289
26,1560,中砂,-131000
27,2356,英業達,-127115
28,2317,鴻海,-120203
29,9904,寶成,-113000
30,1513,中興電,-102000
