排名,證券代號,證券名稱,投信買賣超股數
1,1303,南亞,-4181000
2,2368,金像電,-2099011
3,2330,台積電,-1204507
4,2883,凱基金,-1154883
5,2360,致茂,-1120922
6,2317,鴻海,-1107959
7,2891,中信金,-979876
8,9907,統一實,-898251
9,2881,富邦金,-749258
10,2204,中華,-663672
11,8112,至上,-632498
12,2882,國泰金,-631512
13,3036,文曄,-615031
14,6415,矽力*-KY,-443000
15,5434,崇越,-407950
16,3450,聯鈞,-400000
17,3034,聯詠,-399888
18,3702,大聯大,-345062
19,9802,鈺齊-KY,-312000
20,9938,百和,-280967
21,2404,漢唐,-263000
22,6278,台表科,-231000
23,2890,永豐金,-217417
24,2801,彰銀,-205027
25,6715,嘉基,-202000
26,8028,昇陽半導體,-185000
27,8150,南茂,-165000
28,4919,新唐,-150000
29,2884,玉山金,-135085
30,2618,長榮航,-133929
