排名,證券代號,證券名稱,投信買賣超股數
1,2884,玉山金,3984789
2,3702,大聯大,3217000
3,3189,景碩,2146000
4,8046,南電,1523902
5,1303,南亞,1453000
6,2542,興富發,1347300
7,2301,光寶科,1186239
8,3450,聯鈞,989000
9,2313,華通,967000
10,3037,欣興,914389
11,2801,彰銀,564000
12,6278,台表科,539600
13,6531,愛普*,498000
14,3017,奇鋐,440846
15,2441,超豐,429000
16,2408,南亞科,423331
17,2481,強茂,400000
18,2887,台新新光金,323805
19,6669,緯穎,310893
20,3532,台勝科,298000
21,2886,兆豐金,275688
22,2603,長榮,260600
23,4764,雙鍵,259000
24,6805,富世達,248000
25,2610,華航,239000
26,8039,台虹,238000
27,3044,健鼎,201996
28,3443,創意,195240
29,2382,廣達,143650
30,9941,裕融,120871
